CAS,AAC,SpPosA_B(m),SpMax5_Bh(m),P_VSA_v_3
5786-21-0,1.4930490000000001,1.413699,3.1771880000000001,139.585915
50-02-2,1.4364239999999999,1.360177,3.2685879999999998,78.495012000000003
50-06-6,1.658188,1.388331,2.8986589999999999,75.611671000000001
50-23-7,1.3242290000000001,1.3411109999999999,3.2619729999999998,58.320908000000003
50-28-2,1.2072099999999999,1.324422,2.942002,58.832287000000001
50-44-2,1.8352379999999999,1.5557609999999999,2.1424759999999998,68.227231000000003
50-48-6,1.1303300000000001,1.3257829999999999,3.1790210000000001,127.716155
51-48-9,1.910509,2.9188610000000001,3.8102480000000001,61.660398999999998
52-53-9,1.3919550000000001,1.3225769999999999,3.2181160000000002,182.19811200000001
53-86-1,1.632903,1.4576119999999999,3.2789060000000001,155.92872800000001
54-31-9,2.0411579999999998,1.556997,3.1188189999999998,114.058627
55-63-0,1.839491,1.515236,2.5682390000000002,9.1847700000000003
57-27-2,1.4481189999999999,1.3571930000000001,3.0020180000000001,65.090712999999994
57-63-6,1.2088300000000001,1.340533,3.085988,99.184106999999997
57-83-0,1.172347,1.317879,3.2155719999999999,69.680644000000001
58-22-0,1.179678,1.311771,3.0597110000000001,55.721961999999998
58-55-9,1.837485,1.419224,2.5706169999999999,39.476486999999999
58-73-1,1.2787900000000001,1.3205070000000001,2.8506490000000002,124.62446799999999
58-89-9,1.5849629999999999,2.1435900000000001,3.3551799999999998,234.891864
59-92-7,1.660533,1.393,2.6647180000000001,35.058723999999998
60-54-8,1.626166,1.395489,3.3213059999999999,84.295136999999997
60-56-0,1.7381489999999999,1.5608439999999999,1.400379,71.967768000000007
64-75-5,1.716534,1.4426460000000001,3.3251029999999999,128.763285
64-86-8,1.500931,1.3574349999999999,3.1977959999999999,138.885627
68-22-4,1.196421,1.329637,3.0988099999999998,87.248577999999995
69-52-3,1.8957170000000001,1.4482900000000001,3.3078509999999999,116.56076
69-53-4,1.764276,1.4288730000000001,3.311938,110.75593600000001
72-69-5,1.1392770000000001,1.324916,3.1601300000000001,119.319778
77-36-1,1.9729779999999999,1.5321560000000001,3.2038679999999999,130.60252800000001
81-81-2,1.369745,1.38405,2.9881549999999999,123.77092399999999
103-90-2,1.5954619999999999,1.3889940000000001,2.2771409999999999,54.191592
114-07-8,1.3971899999999999,1.3250919999999999,3.667243,139.10991999999999
125-33-7,1.5628070000000001,1.351963,2.8126190000000002,73.012725000000003
137-58-6,1.351801,1.3204990000000001,3.0398779999999999,83.879220000000004
147-24-0,1.401975,1.402067,3.1633,169.09261599999999
298-46-4,1.4527939999999999,1.3822369999999999,2.776742,110.92294200000001
302-79-4,1.182966,1.329504,3.1749800000000001,122.239276
318-98-9,1.484996,1.41821,3.3048950000000001,145.539736
439-14-5,1.5866450000000001,1.4455169999999999,3.158649,145.55060700000001
443-48-1,1.842371,1.4345570000000001,2.3982290000000002,24.634169
525-66-6,1.365961,1.3374999999999999,2.9817149999999999,101.07158699999999
657-24-9,1.4387589999999999,1.3546579999999999,2.1497950000000001,20.590938999999999
723-46-6,1.922255,1.483859,2.7431359999999998,74.098101
738-70-5,1.66703,1.3600920000000001,2.9895390000000002,89.512066000000004
1177-87-3,1.452116,1.3685240000000001,3.2802560000000001,99.103931000000003
1404-04-2,1.8431759999999999,1.4557500000000001,3.8013340000000002,7.8246370000000001
1951-25-3,1.5113449999999999,1.9345399999999999,3.595145,134.77152799999999
2078-54-8,1.145222,1.310416,2.4988860000000002,70.100708999999995
4205-90-7,1.7490600000000001,1.6062320000000001,2.8329399999999998,122.594493
4759-48-2,1.182966,1.329504,3.1749800000000001,122.239276
9004-10-8,1.7132799999999999,1.3882749999999999,3.8754949999999999,1172.7378639999999
15687-27-1,1.2515350000000001,1.3367059999999999,2.6866500000000002,74.196158999999994
20830-75-5,1.3741239999999999,1.341299,3.673381,97.530105000000006
21829-25-4,1.657537,1.395187,3.220269,109.531142
22204-53-1,1.361912,1.3709640000000001,2.8800050000000001,91.050552999999994
23593-75-1,1.3543559999999999,1.437182,3.29264,211.586873
25812-30-0,1.285285,1.336076,2.9040379999999999,85.915459999999996
26787-78-0,1.7986329999999999,1.43486,3.3119610000000002,101.279689
28395-03-1,1.724407,1.422526,3.254375,107.030928
29122-68-7,1.49986,1.3451919999999999,2.8752390000000001,77.921672000000001
31121-93-4,1.4203760000000001,1.372806,2.6866500000000002,80.000981999999993
36505-84-7,1.485552,1.3247770000000001,3.3246410000000002,71.789959999999994
42200-33-9,1.413305,1.331925,3.0105629999999999,78.286085999999997
42399-41-7,1.5937429999999999,1.3971560000000001,3.3963369999999999,173.37441000000001
49562-28-9,1.4653609999999999,1.4271160000000001,3.3460960000000002,177.699433
51384-51-1,1.380917,1.3131699999999999,2.9392990000000001,88.692464999999999
51481-61-9,1.6283620000000001,1.443219,2.9466600000000001,85.550308000000001
54739-18-3,1.714709,1.3680060000000001,3.1512150000000001,84.56953
54910-89-3,1.589418,1.380179,3.065477,117.696934
56296-78-7,1.7029749999999999,1.4485060000000001,3.324773,162.16508300000001
59729-33-8,1.476804,1.3619950000000001,3.0907849999999999,133.35870299999999
59865-13-3,1.4697420000000001,1.3272010000000001,3.7320989999999998,296.81965000000002
60142-96-3,1.4091469999999999,1.299223,2.6353879999999998,18.222769
60207-90-1,1.776553,1.5190509999999999,3.3022420000000001,154.74236099999999
61869-08-7,1.552521,1.359497,3.0367310000000001,112.359173
62571-86-2,1.6894439999999999,1.4475199999999999,2.7475309999999999,61.077815999999999
65277-42-1,1.7059789999999999,1.4547939999999999,3.6407080000000001,222.774563
66357-35-5,1.7293320000000001,1.4296880000000001,3.289142,104.64493899999999
73590-58-6,1.7121420000000001,1.424239,3.0732569999999999,121.52123400000001
75330-75-5,1.287506,1.3277080000000001,3.279455,96.504986000000002
76824-35-6,2.0147189999999999,1.583356,3.3048959999999998,88.533635000000004
79559-97-0,1.457187,1.5648569999999999,3.3306979999999999,219.12254799999999
79617-96-2,1.3993519999999999,1.4955149999999999,3.3305389999999999,174.65439900000001
79902-63-9,1.276767,1.3244089999999999,3.2814380000000001,105.33019
81103-11-9,1.389812,1.3200289999999999,3.6694290000000001,149.992977
83905-01-5,1.4003620000000001,1.3128169999999999,3.653241,148.23466400000001
